postcode sector,households,number of postcode units
RG24 9,6604,384
RG25 2,1797,295
RG25 3,1972,190
RG26 3,3638,264
RG26 4,1951,152
RG26 5,3702,387
RG27 0,2309,283
RG27 8,2848,393
RG27 9,3592,390
RG28 7,2524,269
RG29 1,2616,330
RG30 1,2023,168
RG30 2,5691,343
RG30 3,3521,285
RG30 4,5159,326
RG30 6,2441,150
RG31 4,1843,125
RG31 5,2646,201
RG31 6,3869,261
RG31 7,2697,202
RG4  5,2870,185
RG4  6,2840,246
RG4  7,3635,349
RG4  8,4704,362
RG4  9,2399,259
RG40 1,3684,363
RG40 2,2082,198
RG40 3,1782,295
RG40 4,3063,277
RG40 5,729,129
RG41 1,1515,182
RG41 2,2025,234
RG41 3,2553,201
RG41 4,1465,152
RG41 5,3581,375
RG42 1,2079,152
RG42 2,2647,185
RG42 3,2424,170
RG42 4,1785,239
RG42 5,685,143
RG42 6,598,154
RG42 7,661,63
RG45 6,3524,351
RG45 7,2194,226
RG5  3,4527,282
RG5  4,5670,393
RG6  1,2882,263
RG6  3,2337,154
RG6  4,3254,216
RG6  5,2512,189
RG6  6,52,108
RG6  7,2949,204
RG7  1,2773,387
RG7  2,846,179
RG7  3,4126,386
RG7  4,1358,347
RG7  5,2455,316
RG7  6,1620,262
RG8  0,2225,319
RG8  7,2004,335
RG8  8,2258,276
RG8  9,1390,269
RG9  1,4263,384
RG9  2,1424,230
RG9  3,858,205
RG9  4,800,255
RG9  5,1637,281
RG9  6,1426,281
RH1  1,2541,369
RH1  2,3168,249
RH1  3,3492,265
RH1  4,2481,266
RH1  5,3358,323
RH1  6,4675,355
RH10 1,2993,384
RH10 3,4831,391
RH10 4,2845,395
RH10 5,2485,173
RH10 6,4044,328
RH10 7,7208,393
RH10 8,2624,179
RH11 0,3968,325
RH11 6,1117,74
RH11 7,5148,374
RH11 8,6255,391
RH11 9,5711,368
RH12 1,3471,373
RH12 2,3478,263
RH12 3,3658,380
RH12 4,4238,396
RH12 5,4015,253
RH13 0,1764,202
RH13 5,4034,367
RH13 6,3699,323
RH13 8,2647,292
RH13 9,3519,281
RH14 0,2527,324
RH14 9,3576,389
RH15 0,4609,391
RH15 8,4839,356
RH15 9,3601,384
RH16 1,3104,351
RH16 2,3171,300
RH16 3,4476,372
RH16 4,3930,384
RH17 5,2747,330
RH17 6,2206,295
RH17 7,2795,291
RH18 5,1918,233
RH19 1,3205,388
RH19 2,2877,340
RH19 3,4657,393
RH19 4,3424,383
RH2  0,3255,341
RH2  7,2869,273
RH2  8,2934,243
RH2  9,1811,267
RH20 1,2362,257
RH20 2,3131,329
RH20 3,2676,293
RH20 4,3100,287
RH3  7,1853,182
RH4  1,2412,339
RH4  2,2262,249
RH4  3,2303,269
RH5  4,3101,297
RH5  5,2229,288
RH5  6,1538,259
RH6  0,1067,301
RH6  7,2663,286
RH6  8,3704,319
RH6  9,4989,393
RH7  6,3812,299
RH8  0,3942,331
RH8  9,2386,226
RH9  8,2281,198
RM1  1,898,199
RM1  2,2023,205
RM1  3,1003,221
RM1  4,4788,294
RM10 7,4376,267
RM10 8,5935,299
RM10 9,4779,244
RM11 1,4621,312
RM11 2,3876,264
RM11 3,4268,284
RM12 4,6635,359
RM12 5,3966,210
RM12 6,3692,257
RM13 7,3724,213
RM13 8,3150,333
RM13 9,5092,358
RM14 1,4735,298
RM14 2,3517,299
RM14 3,2906,232
RM15 4,3305,223
RM15 5,4687,296
RM15 6,3409,219
RM16 2,4936,263
RM16 3,1433,148
RM16 4,3992,235
RM16 5,267,23
RM16 6,5346,221
RM17 5,4919,336
RM17 6,6454,356
RM18 7,1908,195
RM18 8,4539,283
RM19 1,2974,178
RM2  5,2807,215
RM2  6,2945,191
RM20 3,778,138
RM20 4,1196,87
RM3  0,4555,361
RM3  7,3875,257
RM3  8,4528,360
RM3  9,4283,277
RM4  1,1890,217
RM5  2,3508,219
RM5  3,3929,268
RM6  4,4307,301
RM6  5,4491,207
RM6  6,3639,250
RM7  0,4281,306
RM7  7,2130,162
RM7  8,3159,157
RM7  9,2357,158
RM8  1,4471,296
RM8  2,6117,313
RM8  3,4611,196
RM9  4,4729,209
RM9  5,4819,215
RM9  6,4312,255
S1   2,491,312
S1   3,54,260
S1   4,3281,344
S10  1,6090,323
S10  2,2012,290
S10  3,3438,292
S10  4,3001,182
S10  5,3557,243
S11  7,4536,268
S11  8,5646,380
S11  9,4170,313
S12  2,5420,293
S12  3,3931,178
S12  4,6012,292
S13  7,4545,216
S13  8,6111,268
S13  9,3297,207
S14  1,4668,208
S17  3,3424,263
S17  4,3737,222
S18  1,3056,191
S18  2,2696,163
S18  3,754,53
S18  4,677,61
S18  7,883,66
S18  8,2882,177
S2   1,4319,309
S2   2,4876,261
S2   3,3875,263
S2   4,1895,248
S2   5,3780,285
S20  1,2912,140
S20  2,1567,82
S20  3,125,38
S20  4,1852,100
S20  5,2363,132
S20  6,1154,72
S20  7,1934,93
S20  8,1874,90
S21  1,3275,195
S21  2,600,32
S21  3,1235,59
S21  4,3248,193
S21  5,539,29
S25  1,604,40
S25  2,3767,221
S25  3,894,72
S25  4,2809,143
S25  5,1120,67
S26  1,729,49
S26  2,2927,137
S26  3,1143,61
S26  4,2438,121
S26  5,1407,87
S26  6,1701,89
S26  7,843,62
S3   7,4180,342
S3   8,1474,300
S3   9,2115,186
S32  1,913,76
S32  2,427,40
S32  3,652,73
S32  4,236,28
S32  5,490,51
S33  0,707,58
S33  6,521,42
S33  7,153,14
S33  8,346,28
S33  9,719,69
S35  0,2857,168
S35  1,3295,155
S35  2,2572,140
S35  3,1427,57
S35  4,2855,142
S35  7,1299,97
S35  8,2018,108
S35  9,1984,111
S36  1,3183,144
S36  2,2735,184
S36  3,168,14
S36  4,331,39
S36  6,2970,186
S36  7,771,83
S36  8,754,79
S36  9,1361,141
S4   7,2650,287
S4   8,2636,167
S40  1,2087,333
S40  2,5418,346
S40  3,4262,299
S40  4,5420,356
S41  0,5856,342
S41  7,3060,308
S41  8,5403,324
S41  9,2799,257
S42  5,5567,338
S42  6,5076,376
S42  7,2146,188
S43  1,4070,224
S43  2,3339,188
S43  3,5927,366
S43  4,4716,384
S44  5,3734,297
S44  6,6179,363
S45  0,702,130
S45  8,1748,106
S45  9,3866,296
S5   0,4832,224
S5   6,4807,251
S5   7,5686,272
S5   8,5807,260
S5   9,4144,192
S6   1,5136,296
S6   2,4029,300
S6   3,3568,240
S6   4,5897,310
S6   5,4881,242
S6   6,3392,229
S60  1,647,302
S60  2,2702,295
S60  3,3169,195
S60  4,2785,165
S60  5,6452,336
S61  1,3158,212
S61  2,5412,334
S61  3,3358,233
S61  4,4115,225
S62  5,2922,253
S62  6,2229,200
S62  7,3828,283
S63  0,3933,278
S63  6,3912,270
S63  7,3020,306
S63  8,3146,191
S63  9,3185,230
S64  0,3458,215
S64  5,972,64
S64  8,5819,310
S64  9,3551,222
S65  1,2467,245
S65  2,5577,276
S65  3,3786,214
S65  4,3435,254
S66  1,2452,174
S66  2,4195,199
S66  3,2624,121
S66  7,4538,256
S66  8,3907,280
S66  9,2294,206
S7   1,3872,243
S7   2,3159,207
S70  1,2964,304
S70  2,909,248
S70  3,3538,219
S70  4,3730,254
S70  5,3714,279
S70  6,3805,272
S71  1,3811,291
S71  2,4177,264
S71  3,4140,288
S71  4,4463,298
S71  5,3480,259
S72  0,1519,110
S72  7,1990,180
S72  8,5656,368
S72  9,1894,169
S73  0,5157,352
S73  8,3907,277
S73  9,3120,218
S74  0,3408,241
S74  8,1874,107
S74  9,2838,231
S75  1,3130,242
S75  2,3952,280
S75  3,3452,306
S75  4,2150,239
S75  5,3810,256
S75  6,3088,223
S8   0,4959,352
S8   7,5989,266
S8   8,6171,275
S8   9,4476,230
S80  1,2754,330
S80  2,4221,297
S80  3,2075,230
S80  4,4646,335
S81  0,5044,332
S81  7,4136,288
S81  8,3260,339
S81  9,3458,277
S9   1,4873,345
S9   3,1075,273
S9   4,3434,228
S9   5,1702,167
SE1  0,1984,360
SE1  1,1924,342
SE1  2,4474,390
SE1  3,4402,385
SE1  4,4488,372
SE1  5,4733,395
SE1  6,2944,322
SE1  7,3124,387
SE1  8,2043,348
SE1  9,1481,359
SE10 0,3619,389
SE10 8,3695,378
SE10 9,3931,354
SE11 4,4074,341
SE11 5,3431,273
SE11 6,2717,200
SE12 0,3718,265
SE12 8,3685,261
SE12 9,4317,249
SE13 5,5884,348
SE13 6,5374,355
SE13 7,7701,395
SE14 5,6548,382
SE14 6,3657,344
SE15 1,2773,263
SE15 2,5259,333
SE15 3,5961,340
SE15 4,3669,293
SE15 5,3748,339
SE15 6,4673,367
SE16 2,4199,308
SE16 3,4625,328
SE16 4,3313,315
SE16 5,3003,183
SE16 6,2190,157
SE16 7,3293,289
SE17 1,3354,376
SE17 2,5408,348
SE17 3,5325,347
SE18 1,5032,276
SE18 2,4099,246
SE18 3,4715,307
SE18 4,3077,236
SE18 5,4246,263
SE18 6,4597,392
SE18 7,5032,269
SE19 1,4101,313
SE19 2,4005,305
SE19 3,4935,351
SE2  0,4875,268
SE2  9,5719,332
SE20 7,5423,353
SE20 8,5460,374
SE21 7,1391,156
SE21 8,4785,317
SE22 0,4437,284
SE22 8,4583,347
SE22 9,4065,242
SE23 1,3852,274
SE23 2,5718,323
SE23 3,5305,369
SE24 0,4082,272
SE24 9,3966,265
SE25 4,5465,338
SE25 5,4316,291
SE25 6,5730,361
SE26 4,4476,297
SE26 5,3506,290
SE26 6,4848,344
SE27 0,5249,341
SE27 9,4112,290
SE28 0,3999,250
SE28 8,6788,342
SE3  0,2896,293
SE3  7,4287,307
SE3  8,3989,266
SE3  9,3406,374
SE4  1,7406,373
SE4  2,4771,338
SE5  0,3928,310
SE5  7,4272,351
SE5  8,6087,353
SE5  9,4933,294
SE6  1,6512,332
SE6  2,5376,331
SE6  3,4670,257
SE6  4,5075,344
SE7  7,4763,359
SE7  8,3726,287
SE8  3,4389,301
SE8  4,3460,271
SE8  5,4191,305
SE9  1,4842,301
SE9  2,3941,256
SE9  3,5137,287
SE9  4,5392,294
SE9  5,3191,227
SE9  6,3444,248
SG1  1,3243,331
SG1  2,3329,361
SG1  3,3651,313
SG1  4,4147,350
SG1  5,4924,284
SG1  6,2580,100
SG10 6,815,136
SG11 1,2021,271
SG11 2,1214,210
SG12 0,4039,373
SG12 7,3566,298
SG12 8,2802,310
SG12 9,2524,324
SG13 7,4329,389
SG13 8,2549,290
SG14 1,1482,301
SG14 2,3264,290
SG14 3,3862,303
SG15 6,2422,166
SG16 6,2669,231
SG17 5,5046,392
SG18 0,3340,262
SG18 8,4170,376
SG18 9,2903,313
SG19 1,4185,313
SG19 2,4018,363
SG19 3,2137,227
SG2  0,3339,222
SG2  7,3212,247
SG2  8,5363,306
SG2  9,5498,322
SG3  6,3102,319
SG4  0,3858,295
SG4  7,2061,275
SG4  8,2871,344
SG4  9,3855,323
SG5  1,3382,350
SG5  2,3715,294
SG5  3,2819,333
SG5  4,4156,305
SG6  1,3091,347
SG6  2,3194,311
SG6  3,2551,308
SG6  4,5435,345
SG7  5,1934,252
SG7  6,3863,321
SG8  0,1677,235
SG8  5,4267,374
SG8  6,3059,304
SG8  7,3338,284
SG8  8,1391,226
SG8  9,2302,273
SG9  0,1320,259
SG9  9,2548,334
SK1  2,759,137
SK1  3,1595,289
SK1  4,3475,171
SK10 1,1652,284
SK10 2,4856,383
SK10 3,4480,288
SK10 4,2818,379
SK10 5,4263,354
SK11 0,1935,235
SK11 6,2113,303
SK11 7,5384,379
SK11 8,5858,347
SK11 9,1919,253
SK12 1,6194,393
SK12 2,2170,214
SK13 0,788,122
SK13 1,3056,213
SK13 2,1571,103
SK13 5,657,51
SK13 6,2421,219
SK13 7,1822,177
SK13 8,4254,331
SK14 1,2322,237
SK14 2,2031,230
SK14 3,2850,265
SK14 4,5563,354
SK14 5,4393,273
SK14 6,2100,243
SK14 8,1390,181
SK15 1,4132,287
SK15 2,4171,304
SK15 3,3869,266
SK16 4,4028,314
SK16 5,4881,257
SK17 0,1415,214
SK17 6,4031,361
SK17 7,3222,228
SK17 8,2642,249
SK17 9,3530,332
SK2  5,6055,342
SK2  6,3569,289
SK2  7,3105,221
SK22 1,523,62
SK22 2,1124,104
SK22 3,1404,109
SK22 4,2533,197
SK23 0,2075,221
SK23 6,966,105
SK23 7,3583,296
SK23 9,1077,90
SK3  0,3123,339
SK3  8,5380,322
SK3  9,4348,236
SK4  1,1937,268
SK4  2,3416,249
SK4  3,3799,272
SK4  4,3480,268
SK4  5,3145,177
SK5  6,6336,369
SK5  7,3921,261
SK5  8,3230,173
SK6  1,4221,258
SK6  2,3148,274
SK6  3,2198,155
SK6  4,2999,215
SK6  5,2525,237
SK6  6,2835,229
SK6  7,3085,272
SK6  8,1830,130
SK7  1,2722,291
SK7  2,3029,243
SK7  3,2838,237
SK7  4,3556,263
SK7  5,2568,227
SK7  6,2666,205
SK8  1,2420,256
SK8  2,3255,232
SK8  3,5054,344
SK8  4,3530,284
SK8  5,3533,267
SK8  6,3296,287
SK8  7,3649,271
SK9  1,1195,234
SK9  2,3999,342
SK9  3,3098,289
SK9  4,1691,174
SK9  5,2410,233
SK9  6,2197,188
SK9  7,2834,370
SL0  0,2259,277
SL0  9,2212,248
SL1  1,2367,359
SL1  2,6132,380
SL1  3,5022,380
SL1  4,162,342
SL1  5,5300,310
SL1  6,3063,186
SL1  7,2262,195
SL1  8,1440,217
SL1  9,1168,90
SL2  1,5374,310
SL2  2,3174,213
SL2  3,2926,365
SL2  4,2355,259
SL2  5,5706,392
SL3  0,1747,275
SL3  6,1288,217
SL3  7,5191,381
SL3  8,6898,393
SL3  9,2662,256
SL4  1,1695,340
SL4  2,2901,295
SL4  3,3930,343
SL4  4,4493,396
SL4  5,4079,373
SL4  6,1866,242
SL5  0,1702,283
SL5  7,2259,333
SL5  8,2868,327
SL5  9,3080,379
SL6  0,2118,253
SL6  1,2386,382
SL6  2,4495,388
SL6  3,4483,389
SL6  4,2930,337
SL6  5,2693,217
SL6  6,3834,347
SL6  7,3737,386
SL6  8,3029,394
SL6  9,2639,363
SL7  1,3239,388
SL7  2,2353,328
SL7  3,3367,335
SL8  5,2906,391
SL9  0,1970,289
SL9  7,2013,294
SL9  8,1759,367
SL9  9,2388,342
SM1  1,1212,273
SM1  2,5997,327
SM1  3,4716,270
SM1  4,4683,364
SM2  5,5557,319
SM2  6,4828,339
SM2  7,2088,185
SM3  8,3031,241
SM3  9,5043,285
SM4  4,5548,255
SM4  5,3572,254
SM4  6,5171,255
SM5  1,5214,237
SM5  2,4825,305
SM5  3,3059,238
SM5  4,2358,181
SM6  0,3094,315
SM6  7,2731,234
SM6  8,4793,303
SM6  9,5062,316
SM7  1,2639,220
SM7  2,2873,238
SM7  3,1752,185
SN1  1,431,274
SN1  2,3595,266
SN1  3,3224,297
SN1  4,3344,244
SN1  5,2834,259
SN1  7,440,55
SN10 1,2168,293
SN10 2,2856,325
SN10 3,3198,288
SN10 4,2152,243
SN10 5,3411,319
SN11 0,2609,305
SN11 8,3241,360
SN11 9,3532,270
SN12 6,4096,391
SN12 7,4280,308
SN12 8,2389,258
SN13 0,2191,243
SN13 8,1119,212
SN13 9,3972,374
SN14 0,5309,380
SN14 6,2875,325
SN14 7,1193,199
SN14 8,2067,268
SN15 1,2857,323
SN15 2,2251,254
SN15 3,5130,393
SN15 4,3149,299
SN15 5,1445,214
SN16 0,2669,263
SN16 9,3364,390
SN2  1,5822,307
SN2  2,4860,339
SN2  5,2553,172
SN2  7,3848,196
SN2  8,1087,149
SN25 1,4169,193
SN25 2,4072,323
SN25 3,3383,176
SN25 4,3034,216
SN26 7,603,47
SN26 8,116,21
SN3  1,3644,302
SN3  2,4647,247
SN3  3,3873,267
SN3  4,5363,384
SN3  5,2011,173
SN3  6,2766,195
SN4  0,3125,299
SN4  7,3083,274
SN4  8,2731,281
SN4  9,2875,229
SN5  0,128,18
SN5  3,456,45
SN5  4,1646,179
SN5  5,3534,303
SN5  6,1987,201
SN5  7,1758,229
SN5  8,4529,297
SN6  6,2998,269
SN6  7,4013,269
SN6  8,2290,290
SN7  7,3908,381
SN7  8,1920,300
SN8  1,2802,345
SN8  2,2692,308
SN8  3,3020,353
SN8  4,1931,213
SN9  5,2351,245
SN9  6,1384,185
SO14 0,2696,323
SO14 1,1341,125
SO14 2,795,167
SO14 3,2891,332
SO14 5,1135,130
SO14 6,2395,167
SO14 7,107,138
SO15 0,589,113
SO15 1,795,189
SO15 2,4394,385
SO15 3,3513,294
SO15 4,1250,100
SO15 5,5665,371
SO15 7,1184,97
SO15 8,1660,122
SO16 0,714,85
SO16 2,359,47
SO16 3,3862,269
SO16 4,3029,244
SO16 5,3114,192
SO16 6,3184,212
SO16 7,2690,285
SO16 8,5241,237
SO16 9,5111,304
SO17 1,2972,285
SO17 2,3167,222
SO17 3,1667,97
SO18 1,3756,257
SO18 2,4023,285
SO18 3,1950,118
SO18 4,1793,141
SO18 5,3323,221
SO18 6,1110,85
SO19 0,1591,99
SO19 1,1318,55
SO19 2,2709,149
SO19 4,853,30
SO19 5,698,50
SO19 6,4159,274
SO19 7,3163,198
SO19 8,3602,197
SO19 9,6591,366
SO20 6,2010,243
SO20 8,1473,213
SO21 1,3192,374
SO21 2,2400,252
SO21 3,2545,301
SO22 4,4511,268
SO22 5,2747,315
SO22 6,3793,299
SO23 0,2361,161
SO23 7,4050,362
SO23 8,1575,373
SO23 9,2199,309
SO24 0,1710,247
SO24 9,3181,345
SO30 0,2800,188
SO30 2,5575,362
SO30 3,2764,235
SO30 4,2407,199
SO31 1,734,91
SO31 4,2207,186
SO31 5,2923,198
SO31 6,4713,310
SO31 7,2812,266
SO31 8,2985,240
SO31 9,2790,242
SO32 1,3291,342
SO32 2,3824,358
SO32 3,1269,125
SO40 2,3748,223
SO40 3,3169,277
SO40 4,2497,172
SO40 7,2211,161
SO40 8,3514,226
SO40 9,2433,207
SO41 0,5154,369
SO41 3,1538,157
SO41 5,655,86
SO41 6,1599,127
SO41 8,3241,290
SO41 9,3539,397
SO42 7,2447,217
SO43 7,2117,178
SO45 1,3393,250
SO45 2,2756,194
SO45 3,1907,196
SO45 4,2256,195
SO45 5,3212,244
SO45 6,1915,166
SO50 4,3927,251
SO50 5,4330,307
SO50 6,2651,224
SO50 7,3194,255
SO50 8,2771,167
SO50 9,2500,302
SO51 0,1678,250
SO51 5,1737,146
SO51 6,1868,195
SO51 7,3572,211
SO51 8,2450,354
SO51 9,359,110
SO52 9,3091,204
SO53 1,2098,178
SO53 2,3733,279
SO53 3,2838,275
SO53 4,2767,246
SO53 5,2011,179
SP1  1,2233,252
SP1  2,1931,316
SP1  3,5463,389
SP10 1,1813,260
SP10 2,4345,309
SP10 3,5865,383
SP10 4,2675,175
SP10 5,2331,232
SP11 0,1465,258
SP11 6,1836,393
SP11 7,1896,275
SP11 8,1730,246
SP11 9,2759,330
SP2  0,2261,248
SP2  7,3656,355
SP2  8,3609,259
SP2  9,3643,224
SP3  4,1909,259
SP3  5,1398,261
SP3  6,2050,297
SP4  0,1138,178
SP4  6,1714,299
SP4  7,4488,387
SP4  8,2868,269
SP4  9,2069,269
SP5  1,1952,254
SP5  2,2529,279
SP5  3,2575,285
SP5  4,987,160
SP5  5,1533,241
SP6  1,2900,280
SP6  2,1266,218
SP6  3,2088,251
SP7  0,1064,212
SP7  8,3395,307
SP7  9,1688,232
SP8  4,5127,373
SP8  5,1556,279
SP9  7,3101,365
SR1  1,444,291
SR1  2,1764,207
SR1  3,549,176
SR2  0,4103,284
SR2  7,4386,307
SR2  8,3407,233
SR2  9,3334,231
SR3  1,5466,312
SR3  2,4539,345
SR3  3,4548,273
SR3  4,3094,162
SR4  0,3018,214
SR4  6,3673,296
SR4  7,4307,281
SR4  8,4068,213
SR4  9,2907,200
SR5  1,2821,216
SR5  2,2524,244
SR5  3,3655,277
SR5  4,2785,192
SR5  5,3998,224
SR6  0,2872,206
SR6  7,4469,307
SR6  8,2677,163
SR6  9,3887,237
SR7  0,2567,185
SR7  7,4496,320
SR7  8,3390,232
SR7  9,3466,253
SR8  1,2000,208
SR8  2,3515,227
SR8  3,3644,291
SR8  4,3667,235
SR8  5,3029,212
SS0  0,4256,246
SS0  7,5316,309
SS0  8,3636,203
SS0  9,5974,350
SS1  1,1584,243
SS1  2,7071,392
SS1  3,3945,298
SS11 7,2964,273
SS11 8,4172,352
SS12 0,3022,232
SS12 9,4582,287
SS13 1,3940,285
SS13 2,2245,173
SS13 3,3278,230
SS14 1,4088,347
SS14 2,4755,299
SS14 3,1782,315
SS15 4,2375,135
SS15 5,6683,390
SS15 6,3885,291
SS16 4,5068,299
SS16 5,4207,320
SS16 6,3112,253
SS17 0,3410,272
SS17 7,4731,271
SS17 8,3506,223
SS17 9,1761,172
SS2  4,7211,318
SS2  5,3945,302
SS2  6,5348,378
SS3  0,2949,246
SS3  8,2401,158
SS3  9,6624,386
SS4  1,5190,364
SS4  2,325,85
SS4  3,3387,234
SS5  4,3773,345
SS5  5,2487,190
SS5  6,2698,181
SS6  7,2926,330
SS6  8,5137,318
SS6  9,4974,336
SS7  1,3659,289
SS7  2,4528,280
SS7  3,4683,339
SS7  4,3572,209
SS7  5,4468,306
SS8  0,3189,253
SS8  7,3587,307
SS8  8,3646,211
SS8  9,6103,362
SS9  1,4541,302
SS9  2,3801,310
SS9  3,4496,289
SS9  4,4493,270
SS9  5,5107,333
ST1  2,1866,194
ST1  3,2687,284
ST1  4,1693,222
ST1  5,1663,298
ST1  6,6164,311
ST10 1,4970,349
ST10 2,2338,201
ST10 3,1072,123
ST10 4,2958,254
ST11 9,4443,275
ST12 9,1738,145
ST13 5,3185,268
ST13 6,2817,213
ST13 7,2938,267
ST13 8,3956,318
ST14 5,1919,193
ST14 7,3640,262
ST14 8,2790,322
ST15 0,4027,367
ST15 8,5520,397
ST16 1,5568,374
ST16 2,970,263
ST16 3,7288,393
ST17 0,5136,350
ST17 4,5536,339
ST17 9,6894,396
ST18 0,4317,395
ST18 9,2363,251
ST19 5,3635,280
ST19 9,2783,235
ST2  0,4514,263
ST2  7,3679,208
ST2  8,3155,176
ST2  9,3912,213
ST20 0,2949,273
ST21 6,2504,251
ST3  1,2686,269
ST3  2,3525,252
ST3  3,3678,185
ST3  4,3826,275
ST3  5,5818,324
ST3  6,4456,242
ST3  7,5571,376
ST4  1,789,178
ST4  2,2887,321
ST4  3,3603,238
ST4  4,3186,287
ST4  5,3697,238
ST4  6,3496,261
ST4  7,3270,264
ST4  8,5140,392
ST5  0,4378,297
ST5  1,1646,289
ST5  2,4457,293
ST5  3,4297,279
ST5  4,2788,186
ST5  5,1246,172
ST5  6,3922,245
ST5  7,4820,304
ST5  8,5042,261
ST5  9,3434,230
ST6  1,3608,238
ST6  2,1301,191
ST6  3,1463,224
ST6  4,2235,244
ST6  5,4610,301
ST6  6,5912,312
ST6  7,4116,210
ST6  8,5645,295
ST7  1,4842,302
ST7  2,5443,391
ST7  3,3366,294
ST7  4,6339,356
ST7  8,3567,196
ST8  6,5034,289
ST8  7,4034,321
ST9  0,2672,187
ST9  9,2415,222
SW10 0,4786,389
SW10 9,5415,388
SW11 1,4613,356
SW11 2,6465,363
SW11 3,5732,392
SW11 4,4234,315
SW11 5,7859,391
SW11 6,4363,296
SW12 0,3285,248
SW12 8,5468,347
SW12 9,5158,330
SW13 0,3066,258
SW13 8,973,66
SW13 9,3173,278
SW14 7,3238,272
SW14 8,4026,327
SW15 1,4519,329
SW15 2,5037,378
SW15 3,5033,322
SW15 4,3973,201
SW15 5,4060,288
SW15 6,3912,334
SW16 1,4913,341
SW16 2,7385,391
SW16 3,3486,260
SW16 4,5040,365
SW16 5,6729,373
SW16 6,5844,335
SW17 0,6229,392
SW17 6,889,40
SW17 7,5234,350
SW17 8,8221,365
SW17 9,6309,366
SW18 1,5277,381
SW18 2,4357,308
SW18 3,5602,299
SW18 4,4868,375
SW18 5,5510,330
SW19 1,4916,353
SW19 2,5392,349
SW19 3,4388,366
SW19 4,3266,356
SW19 5,1779,251
SW19 6,5065,319
SW19 7,2788,241
SW19 8,6449,386
SW1A 1,224,187
SW1E 5,143,195
SW1E 6,264,177
SW1H 0,269,189
SW1H 9,295,173
SW1P 1,1414,375
SW1P 2,1987,282
SW1P 3,423,242
SW1P 4,3774,295
SW1V 1,1150,272
SW1V 2,3465,301
SW1V 3,4833,291
SW1V 4,3410,255
SW1W 0,394,234
SW1W 8,3470,304
SW1W 9,1471,270
SW1X 0,1432,143
SW1X 7,613,271
SW1X 8,1006,268
SW1X 9,1335,242
SW1Y 4,236,308
SW1Y 6,215,214
SW2  1,3311,312
SW2  2,5189,330
SW2  3,5782,317
SW2  4,5024,345
SW2  5,4350,299
SW20 0,3808,336
SW20 8,4863,334
SW20 9,3312,181
SW3  1,936,232
SW3  2,2815,295
SW3  3,3608,298
SW3  4,2282,300
SW3  5,2930,348
SW3  6,1594,244
SW4  0,3057,284
SW4  6,4553,302
SW4  7,3711,320
SW4  8,3079,232
SW4  9,3010,290
SW5  0,3885,326
SW5  9,4992,382
SW6  1,3702,358
SW6  2,5852,391
SW6  3,4057,344
SW6  4,3462,357
SW6  5,3377,274
SW6  6,5097,340
SW6  7,4616,351
SW7  1,1993,260
SW7  2,1088,259
SW7  3,2455,244
SW7  4,2748,301
SW7  5,2970,273
SW8  1,5054,363
SW8  2,4817,333
SW8  3,3021,251
SW8  4,4203,293
SW8  5,210,148
SW9  0,5036,322
SW9  6,2623,330
SW9  7,3744,322
SW9  8,2565,323
SW9  9,5166,357
SY1  1,986,316
SY1  2,3512,315
SY1  3,3469,311
SY1  4,3897,287
SY10 0,1132,6
SY10 7,1663,234
SY10 8,1550,227
SY10 9,2065,204
SY11 1,2973,301
SY11 2,4862,350
SY11 3,2386,214
SY11 4,1852,224
SY12 0,2027,237
SY12 9,1531,185
SY13 1,4389,332
SY13 2,1715,223
SY13 3,1239,65
SY13 4,1151,212
SY14 7,1064,145
SY14 8,1451,218
SY15 6,2336,45
SY2  5,5044,348
SY2  6,2712,284
SY21 8,2077,18
SY22 5,965,1
SY22 6,3410,32
SY3  0,2172,198
SY3  5,1997,169
SY3  6,1225,66
SY3  7,3633,269
SY3  8,4001,360
SY3  9,2097,227
SY4  1,1214,162
SY4  2,1041,151
SY4  3,1724,234
SY4  4,2404,308
SY4  5,3883,337
SY5  0,2805,321
SY5  6,1753,224
SY5  7,1204,195
SY5  8,1335,205
SY5  9,1969,243
SY6  6,2085,233
SY6  7,1091,138
SY7  0,1699,198
SY7  8,1784,206
SY7  9,2188,231
SY8  1,4359,362
SY8  2,1585,185
SY8  3,1498,200
SY8  4,1605,176
SY9  5,1362,146
TA1  1,3028,356
TA1  2,5754,322
TA1  3,3769,352
TA1  4,2908,311
TA1  5,2908,212
TA10 0,1753,203
TA10 9,2436,302
TA11 6,2901,291
TA11 7,1260,190
TA12 6,2901,209
TA13 5,1917,176
TA14 6,1370,112
TA15 6,389,32
TA16 5,882,63
TA17 8,267,36
TA18 7,1957,253
TA18 8,2866,225
TA19 0,2767,252
TA19 9,2675,300
TA2  6,3406,300
TA2  7,4605,277
TA2  8,3353,316
TA20 1,3586,282
TA20 2,3501,264
TA20 3,1308,226
TA20 4,1077,193
TA21 0,1754,216
TA21 8,3305,265
TA21 9,3065,249
TA22 9,1463,206
TA23 0,2793,299
TA24 5,2944,284
TA24 6,2951,308
TA24 7,1007,247
TA24 8,2726,245
TA3  5,2560,245
TA3  6,2088,270
TA3  7,1767,246
TA4  1,2210,220
TA4  2,1959,316
TA4  3,2350,292
TA4  4,1926,256
TA5  1,2494,255
TA5  2,2146,289
TA6  3,4608,328
TA6  4,5408,396
TA6  5,2833,244
TA6  6,4704,384
